Name,Region,Capital,Area,Population,Currency
Austria,Central Europe,Vienna,83871,9119533,Euro (EUR)
Belarus,Eastern Europe,Minsk,207600,9398867,Belarusian ruble (BYN)
Bosnia and Herzegovina,Southeast Europe,Sarajevo,51129,3295931,Bosnian convertible mark (BAM)
Bulgaria,Southeast Europe,Sofia,110994,6818088,Bulgarian lev (BGN)
Croatia,Southeast Europe,Zagreb,56594,4040905,Croatian kuna (HRK)
Czech Republic,Central Europe,Prague,78866,10706997,Czech koruna (CZK)
Estonia,Northern Europe,Tallinn,43515,1329959,Euro (EUR)
Hungary,Central Europe,Budapest,93030,9660349,Hungarian forint (HUF)
Latvia,Northern Europe,Riga,64589,1899500,Euro (EUR)
Lithuania,Northern Europe,Vilnius,62688,2794290,Euro (EUR)
Moldova,Eastern Europe,Chișinău,33843,2597000,Moldovan leu (MDL)
Poland,Central Europe,Warsaw,312679,38036287,Polish złoty (PLN)
Romania,Southeast Europe,Bucharest,238391,19193261,Romanian leu (RON)
Slovakia,Central Europe,Bratislava,49035,5465662,Euro (EUR)
Slovenia,Central Europe,Ljubljana,20273,2100795,Euro (EUR)
Ukraine,Eastern Europe,Kyiv,603550,42990498,Ukrainian hryvnia (UAH)
