movie_title,showtime,seat_number,ticket_price,payment_method
The Shape of Water,9/27/2022,A1,38.97,Debit Card
The Shape of Water,4/30/2022,C2,23.38,Debit Card
The Shape of Water,11/28/2022,B2,2.28,Credit Card
Avatar,7/29/2022,B1,97.13,Credit Card
The Shape of Water,10/6/2022,B3,26.04,Debit Card
Avatar,12/3/2022,A1,96.86,Cash
Nomadland,6/9/2022,B2,91.93,Credit Card
Avatar,2/3/2022,A2,61.51,Cash
The Shape of Water,10/8/2022,A2,30.72,Credit Card
Nomadland,7/22/2022,A2,9.3,Cash
The Shape of Water,3/12/2022,B1,31.28,Credit Card
Avatar,8/6/2022,A3,73.9,Debit Card
The Shape of Water,1/19/2022,A3,55.14,Debit Card
Nomadland,12/5/2022,C1,99.91,Debit Card
Nomadland,4/28/2022,B3,61.2,Credit Card
Avatar,3/17/2022,C2,32.54,Cash
The Shape of Water,5/5/2022,C2,70.5,Cash
The Shape of Water,7/31/2022,A2,43.2,Credit Card
The Shape of Water,1/1/2022,B3,13.0,Cash
Avatar,8/30/2022,C3,50.76,Cash
