City;Region;Province;Areakm2;Population
Bolesławiec;bolesławiecki;dolnośląskie;23.57;39464
Nowogrodziec;bolesławiecki;dolnośląskie;16.1;4227
Bielawa;dzierżoniowski;dolnośląskie;36.21;30987
Dzierżoniów;dzierżoniowski;dolnośląskie;20.07;34168
Niemcza;dzierżoniowski;dolnośląskie;19.81;3107
Pieszyce;dzierżoniowski;dolnośląskie;63.61;9586
Piława Górna;dzierżoniowski;dolnośląskie;20.93;6702
Głogów;głogowski;dolnośląskie;35.11;68836
Góra;górowski;dolnośląskie;13.65;12316
Wąsosz;górowski;dolnośląskie;3.24;2774
Bolków;jaworski;dolnośląskie;7.68;5253
Jawor;jaworski;dolnośląskie;18.8;23767
Jelenia Góra;Jelenia Góra[a];dolnośląskie;109.22;81408
Karpacz;jeleniogórski;dolnośląskie;37.99;4921
Kowary;jeleniogórski;dolnośląskie;37.39;11408
Piechowice;jeleniogórski;dolnośląskie;43.22;6483
Szklarska Poręba;jeleniogórski;dolnośląskie;75.44;6829
Kamienna Góra;kamiennogórski;dolnośląskie;18.04;19889
Lubawka;kamiennogórski;dolnośląskie;22.44;6236
Bystrzyca Kłodzka;kłodzki;dolnośląskie;10.74;10389
Duszniki-Zdrój;kłodzki;dolnośląskie;22.28;4837
Kłodzko;kłodzki;dolnośląskie;24.84;27792
Kudowa-Zdrój;kłodzki;dolnośląskie;33.9;10249
Lądek-Zdrój;kłodzki;dolnośląskie;20.32;5873
Międzylesie;kłodzki;dolnośląskie;14.37;2709
Nowa Ruda;kłodzki;dolnośląskie;37.05;23030
Polanica-Zdrój;kłodzki;dolnośląskie;17.22;6599
Radków;kłodzki;dolnośląskie;15.03;2474
Stronie Śląskie;kłodzki;dolnośląskie;2.38;5934
Szczytna;kłodzki;dolnośląskie;80.38;5328
Legnica;Legnica[a];dolnośląskie;56.29;101343
Chojnów;legnicki;dolnośląskie;5.32;13972
Prochowice;legnicki;dolnośląskie;9.85;3644
Leśna;lubański;dolnośląskie;8.56;4648
Lubań;lubański;dolnośląskie;16.12;21785
Olszyna;lubański;dolnośląskie;20.26;4469
Świeradów-Zdrój;lubański;dolnośląskie;20.72;4308
Lubin;lubiński;dolnośląskie;40.77;73658
Ścinawa;lubiński;dolnośląskie;13.54;5767
Gryfów Śląski;lwówecki;dolnośląskie;6.63;6863
Lubomierz;lwówecki;dolnośląskie;8.05;1949
Lwówek Śląski;lwówecki;dolnośląskie;16.65;9115
Mirsk;lwówecki;dolnośląskie;14.66;4025
Wleń;lwówecki;dolnośląskie;7.22;1829
Milicz;milicki;dolnośląskie;13.5;11669
Bierutów;oleśnicki;dolnośląskie;8.36;4980
Międzybórz;oleśnicki;dolnośląskie;6.41;2346
Oleśnica;oleśnicki;dolnośląskie;20.96;37355
Syców;oleśnicki;dolnośląskie;17.05;10407
Twardogóra;oleśnicki;dolnośląskie;8.29;6794
Jelcz-Laskowice;oławski;dolnośląskie;17.06;15910
Oława;oławski;dolnośląskie;27.36;32356
Chocianów;polkowicki;dolnośląskie;9;8122
Polkowice;polkowicki;dolnośląskie;23.74;22558
Przemków;polkowicki;dolnośląskie;6.17;6412
Strzelin;strzeliński;dolnośląskie;10.34;12546
Wiązów;strzeliński;dolnośląskie;9.16;2299
Środa Śląska;średzki;dolnośląskie;14.94;9342
Jaworzyna Śląska;świdnicki;dolnośląskie;4.34;5191
Strzegom;świdnicki;dolnośląskie;20.49;16643
Świdnica;świdnicki;dolnośląskie;21.76;58802
Świebodzice;świdnicki;dolnośląskie;30.43;23197
Żarów;świdnicki;dolnośląskie;7.04;6893
Oborniki Śląskie;trzebnicki;dolnośląskie;14.46;9070
Prusice;trzebnicki;dolnośląskie;10.94;2256
Trzebnica;trzebnicki;dolnośląskie;8.36;12970
Żmigród;trzebnicki;dolnośląskie;9.49;6487
Wałbrzych;Wałbrzych[a];dolnośląskie;84.7;116691
Boguszów-Gorce;wałbrzyski;dolnośląskie;27.02;16055
Głuszyca;wałbrzyski;dolnośląskie;16.21;6583
Jedlina-Zdrój;wałbrzyski;dolnośląskie;17.45;4975
Mieroszów;wałbrzyski;dolnośląskie;10.31;4248
Szczawno-Zdrój;wałbrzyski;dolnośląskie;14.74;5754
Brzeg Dolny;wołowski;dolnośląskie;17.2;12458
Wołów;wołowski;dolnośląskie;18.54;12578
Wrocław;Wrocław[a];dolnośląskie;292.82;634487
Kąty Wrocławskie;wrocławski;dolnośląskie;8.61;6549
Siechnice;wrocławski;dolnośląskie;15.63;6381
Sobótka;wrocławski;dolnośląskie;32.2;6978
Bardo;ząbkowicki;dolnośląskie;4.71;2705
Ząbkowice Śląskie;ząbkowicki;dolnośląskie;13.67;15585
Ziębice;ząbkowicki;dolnośląskie;15.07;9052
Złoty Stok;ząbkowicki;dolnośląskie;7.73;2902
Bogatynia;zgorzelecki;dolnośląskie;59.88;18299
Pieńsk;zgorzelecki;dolnośląskie;9.92;5943
Węgliniec;zgorzelecki;dolnośląskie;8.73;2984
Zawidów;zgorzelecki;dolnośląskie;6.07;4315
Zgorzelec;zgorzelecki;dolnośląskie;15.88;31532
Świerzawa;złotoryjski;dolnośląskie;1.76;2339
Wojcieszów;złotoryjski;dolnośląskie;32.17;3814
Złotoryja;złotoryjski;dolnośląskie;11.51;16085
Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie;7.23;12487
Ciechocinek;aleksandrowski;kujawsko-pomorskie;15.26;10719
Nieszawa;aleksandrowski;kujawsko-pomorskie;9.79;1975
Brodnica;brodnicki;kujawsko-pomorskie;23.15;28605
Górzno;brodnicki;kujawsko-pomorskie;3.43;1430
Jabłonowo Pomorskie;brodnicki;kujawsko-pomorskie;3.35;3848
Koronowo;bydgoski;kujawsko-pomorskie;28.15;11384
Solec Kujawski;bydgoski;kujawsko-pomorskie;18.68;15627
Bydgoszcz;Bydgoszcz[a];kujawsko-pomorskie;175.98;357652
Chełmno;chełmiński;kujawsko-pomorskie;13.56;20434
Golub-Dobrzyń;golubsko-dobrzyński;kujawsko-pomorskie;7.5;12879
Kowalewo Pomorskie;golubsko-dobrzyński;kujawsko-pomorskie;4.45;4266
Grudziądz;Grudziądz[a];kujawsko-pomorskie;57.76;97176
Łasin;grudziądzki;kujawsko-pomorskie;4.79;3372
Radzyń Chełmiński;grudziądzki;kujawsko-pomorskie;1.78;1911
Gniewkowo;inowrocławski;kujawsko-pomorskie;9.18;7278
Inowrocław;inowrocławski;kujawsko-pomorskie;30.42;74564
Janikowo;inowrocławski;kujawsko-pomorskie;9.51;9034
Kruszwica;inowrocławski;kujawsko-pomorskie;6.64;9039
Pakość;inowrocławski;kujawsko-pomorskie;3.46;5712
Dobrzyń nad Wisłą;lipnowski;kujawsko-pomorskie;5.41;2256
Lipno;lipnowski;kujawsko-pomorskie;10.99;14772
Skępe;lipnowski;kujawsko-pomorskie;7.48;3623
Mogilno;mogileński;kujawsko-pomorskie;8.32;12240
Strzelno;mogileński;kujawsko-pomorskie;4.46;5747
Kcynia;nakielski;kujawsko-pomorskie;6.84;4735
Mrocza;nakielski;kujawsko-pomorskie;5.01;4377
Nakło nad Notecią;nakielski;kujawsko-pomorskie;10.62;19064
Szubin;nakielski;kujawsko-pomorskie;7.65;9551
Piotrków Kujawski;radziejowski;kujawsko-pomorskie;9.76;4462
Radziejów;radziejowski;kujawsko-pomorskie;5.69;5749
Rypin;rypiński;kujawsko-pomorskie;10.96;16739
Kamień Krajeński;sępoleński;kujawsko-pomorskie;3.65;2398
Sępólno Krajeńskie;sępoleński;kujawsko-pomorskie;6.55;9361
Więcbork;sępoleński;kujawsko-pomorskie;4.31;5994
Nowe;świecki;kujawsko-pomorskie;3.57;6118
Świecie;świecki;kujawsko-pomorskie;11.87;26276
Toruń;Toruń[a];kujawsko-pomorskie;115.72;203158
Chełmża;toruński;kujawsko-pomorskie;7.84;14905
Tuchola;tucholski;kujawsko-pomorskie;17.69;13935
Wąbrzeźno;wąbrzeski;kujawsko-pomorskie;8.53;13925
Włocławek;Włocławek[a];kujawsko-pomorskie;84.32;113939
Brześć Kujawski;włocławski;kujawsko-pomorskie;7.04;4690
Chodecz;włocławski;kujawsko-pomorskie;1.39;1901
Izbica Kujawska;włocławski;kujawsko-pomorskie;2.24;2730
Kowal;włocławski;kujawsko-pomorskie;4.68;3538
Lubień Kujawski;włocławski;kujawsko-pomorskie;2.31;1413
Lubraniec;włocławski;kujawsko-pomorskie;1.97;3139
Barcin;żniński;kujawsko-pomorskie;3.7;7655
Janowiec Wielkopolski;żniński;kujawsko-pomorskie;3.04;4023
Łabiszyn;żniński;kujawsko-pomorskie;2.89;4524
Żnin;żniński;kujawsko-pomorskie;8.35;14173
Międzyrzec Podlaski;bialski;lubelskie;20.03;17102
Terespol;bialski;lubelskie;10.11;5794
Biała Podlaska;Biała Podlaska[a];lubelskie;49.4;57471
Biłgoraj;biłgorajski;lubelskie;21.1;26935
Frampol;biłgorajski;lubelskie;4.67;1457
Józefów;biłgorajski;lubelskie;5;2506
Tarnogród;biłgorajski;lubelskie;10.69;3457
Chełm;Chełm[a];lubelskie;35.28;64855
Rejowiec Fabryczny;chełmski;lubelskie;14.28;4486
Hrubieszów;hrubieszowski;lubelskie;33.03;18450
Janów Lubelski;janowski;lubelskie;14.8;12110
Modliborzyce;janowski;lubelskie;7.89;1430
Krasnystaw;krasnostawski;lubelskie;42.13;19343
Annopol;kraśnicki;lubelskie;7.73;2624
Kraśnik;kraśnicki;lubelskie;26.1;35508
Kock;lubartowski;lubelskie;16.78;3389
Lubartów;lubartowski;lubelskie;13.91;22463
Ostrów Lubelski;lubartowski;lubelskie;29.77;2191
Bełżyce;lubelski;lubelskie;23.46;6700
Bychawa;lubelski;lubelskie;6.69;5159
Lublin;Lublin[a];lubelskie;147.47;341722
Łęczna;łęczyński;lubelskie;19;19690
Łuków;łukowski;lubelskie;35.75;30557
Stoczek Łukowski;łukowski;lubelskie;9.15;2665
Opole Lubelskie;opolski;lubelskie;15.12;8792
Poniatowa;opolski;lubelskie;15.26;9553
Parczew;parczewski;lubelskie;8.05;10913
Kazimierz Dolny;puławski;lubelskie;30.44;2599
Nałęczów;puławski;lubelskie;13.82;3892
Puławy;puławski;lubelskie;50.49;48864
Radzyń Podlaski;radzyński;lubelskie;19.31;16102
Dęblin;rycki;lubelskie;38.33;16893
Ryki;rycki;lubelskie;27.22;9877
Piaski;świdnicki;lubelskie;8.44;2657
Świdnik;świdnicki;lubelskie;20.35;40078
Łaszczów;tomaszowski;lubelskie;5.01;2222
Tomaszów Lubelski;tomaszowski;lubelskie;13.29;19824
Tyszowce;tomaszowski;lubelskie;18.52;2170
Włodawa;włodawski;lubelskie;17.97;13601
Krasnobród;zamojski;lubelskie;6.99;3108
Szczebrzeszyn;zamojski;lubelskie;29.12;5202
Zwierzyniec;zamojski;lubelskie;6.19;3321
Zamość;Zamość[a];lubelskie;30.34;65055
